age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
22,state-gov,some-college,10,married-civ-spouse,other-service,husband,black,male,0,0,15,united-states,<=50K
48,private,11th,7,never-married,machine-op-inspct,unmarried,white,male,0,0,40,puerto-rico,<=50K
21,private,some-college,10,never-married,machine-op-inspct,own-child,white,male,0,0,40,united-states,<=50K
19,private,hs-grad,9,married-af-spouse,adm-clerical,wife,white,female,0,0,25,united-states,<=50K
31,private,some-college,10,married-civ-spouse,sales,husband,white,male,0,0,38,united-states,>50K
48,self-emp-not-inc,assoc-acdm,12,married-civ-spouse,prof-specialty,husband,white,male,0,0,40,united-states,<=50K
31,private,9th,5,married-civ-spouse,machine-op-inspct,husband,white,male,0,0,43,united-states,<=50K
53,self-emp-not-inc,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,0,0,40,united-states,<=50K
24,private,bachelors,13,married-civ-spouse,tech-support,husband,white,male,0,0,50,united-states,<=50K
49,private,hs-grad,9,separated,adm-clerical,unmarried,white,female,0,0,40,united-states,<=50K
25,private,hs-grad,9,never-married,handlers-cleaners,not-in-family,white,male,0,0,35,united-states,<=50K
57,federal-gov,bachelors,13,married-civ-spouse,prof-specialty,husband,black,male,0,0,40,united-states,>50K
53,private,hs-grad,9,married-civ-spouse,machine-op-inspct,husband,white,male,0,0,38,united-states,<=50K
44,private,masters,14,divorced,exec-managerial,unmarried,white,female,0,0,40,united-states,<=50K
41,state-gov,assoc-voc,11,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,<=50K
29,private,assoc-voc,11,never-married,prof-specialty,not-in-family,white,male,0,0,43,united-states,<=50K
25,private,some-college,10,married-civ-spouse,exec-managerial,wife,other,female,0,0,40,united-states,<=50K
18,private,hs-grad,9,never-married,other-service,own-child,white,female,0,0,30,united-states,<=50K
47,private,prof-school,15,married-civ-spouse,prof-specialty,wife,white,female,0,1902,60,honduras,>50K
50,federal-gov,bachelors,13,divorced,exec-managerial,not-in-family,white,male,0,0,55,united-states,>50K
47,self-emp-inc,hs-grad,9,divorced,exec-managerial,not-in-family,white,male,0,0,60,united-states,<=50K
43,private,some-college,10,married-civ-spouse,tech-support,husband,white,male,0,0,40,united-states,>50K
46,private,5th-6th,3,married-civ-spouse,machine-op-inspct,husband,white,male,0,0,40,mexico,<=50K
35,private,assoc-voc,11,married-civ-spouse,other-service,husband,white,male,0,0,40,puerto-rico,<=50K
41,private,hs-grad,9,married-civ-spouse,adm-clerical,husband,white,male,0,0,48,united-states,<=50K
30,private,hs-grad,9,married-civ-spouse,machine-op-inspct,husband,white,male,5013,0,40,united-states,<=50K
30,private,bachelors,13,married-civ-spouse,sales,husband,white,male,2407,0,40,united-states,<=50K
32,private,7th-8th,4,married-spouse-absent,prof-specialty,not-in-family,white,male,0,0,40,united-states,<=50K
48,private,hs-grad,9,married-civ-spouse,transport-moving,husband,white,male,0,0,40,united-states,<=50K
42,private,doctorate,16,married-civ-spouse,prof-specialty,husband,white,male,0,0,45,united-states,>50K
29,private,some-college,10,divorced,tech-support,not-in-family,white,male,0,0,58,united-states,<=50K
36,private,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,<=50K
28,private,some-college,10,divorced,adm-clerical,not-in-family,white,female,0,0,40,united-states,<=50K
53,private,hs-grad,9,married-civ-spouse,adm-clerical,wife,white,female,0,0,40,united-states,>50K
49,self-emp-inc,some-college,10,married-civ-spouse,exec-managerial,husband,white,male,0,0,50,united-states,>50K
25,private,some-college,10,never-married,prof-specialty,own-child,white,male,0,0,40,united-states,<=50K
19,private,some-college,10,never-married,prof-specialty,own-child,white,male,0,0,32,united-states,<=50K
31,private,bachelors,13,separated,sales,own-child,black,female,0,0,40,united-states,<=50K
29,self-emp-not-inc,bachelors,13,married-civ-spouse,sales,husband,white,male,0,0,70,united-states,>50K
23,private,some-college,10,never-married,machine-op-inspct,not-in-family,white,male,0,0,40,united-states,<=50K
79,private,some-college,10,married-civ-spouse,prof-specialty,other-relative,white,male,0,0,20,united-states,<=50K
27,private,hs-grad,9,never-married,other-service,own-child,white,male,0,0,40,mexico,<=50K
40,private,assoc-acdm,12,married-civ-spouse,adm-clerical,husband,white,male,0,0,40,united-states,<=50K
67,private,10th,6,married-civ-spouse,prof-specialty,husband,white,male,0,0,2,united-states,<=50K
18,private,11th,7,never-married,other-service,own-child,white,female,0,0,22,united-states,<=50K
31,local-gov,7th-8th,4,married-civ-spouse,farming-fishing,husband,white,male,0,0,40,united-states,<=50K
18,private,hs-grad,9,never-married,sales,not-in-family,white,male,0,0,30,united-states,<=50K
52,private,bachelors,13,married-civ-spouse,other-service,husband,white,male,0,0,40,cuba,<=50K
46,private,hs-grad,9,married-civ-spouse,other-service,wife,white,female,0,0,40,united-states,<=50K
59,private,hs-grad,9,married-civ-spouse,sales,husband,white,male,0,0,48,united-states,<=50K
44,private,hs-grad,9,divorced,craft-repair,not-in-family,white,female,14344,0,40,united-states,>50K
53,private,hs-grad,9,divorced,sales,own-child,white,female,0,0,35,united-states,<=50K
49,local-gov,hs-grad,9,married-civ-spouse,protective-serv,husband,white,male,0,0,40,united-states,>50K
33,private,masters,14,married-civ-spouse,prof-specialty,husband,white,male,0,0,50,united-states,<=50K
30,private,9th,5,never-married,sales,not-in-family,white,male,0,0,40,united-states,<=50K
43,federal-gov,doctorate,16,never-married,prof-specialty,not-in-family,white,female,0,0,50,united-states,>50K
57,private,assoc-voc,11,married-civ-spouse,prof-specialty,husband,white,male,0,0,40,united-states,<=50K
37,private,some-college,10,divorced,craft-repair,unmarried,white,female,0,0,40,united-states,<=50K
28,private,some-college,10,divorced,machine-op-inspct,unmarried,black,female,0,0,25,united-states,<=50K
30,private,hs-grad,9,married-civ-spouse,sales,wife,asian-pac-islander,female,0,1573,35,united-states,<=50K
34,local-gov,bachelors,13,married-civ-spouse,protective-serv,husband,white,male,0,0,40,united-states,>50K
29,local-gov,some-college,10,never-married,handlers-cleaners,not-in-family,white,male,0,0,50,united-states,<=50K
48,self-emp-not-inc,doctorate,16,married-civ-spouse,prof-specialty,husband,white,male,0,1902,60,united-states,>50K
37,private,some-college,10,married-civ-spouse,sales,husband,white,male,0,0,48,united-states,>50K
48,private,assoc-acdm,12,divorced,exec-managerial,unmarried,white,female,0,0,40,england,<=50K
32,federal-gov,hs-grad,9,never-married,other-service,own-child,black,male,0,0,40,united-states,<=50K
76,private,masters,14,married-civ-spouse,exec-managerial,husband,white,male,0,0,40,united-states,>50K
44,private,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,15024,0,60,united-states,>50K
47,self-emp-not-inc,masters,14,never-married,prof-specialty,not-in-family,white,female,0,0,50,united-states,<=50K
20,private,some-college,10,never-married,tech-support,own-child,white,female,0,0,40,united-states,<=50K
29,private,hs-grad,9,never-married,craft-repair,not-in-family,white,male,0,0,40,united-states,<=50K
32,self-emp-inc,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,7688,0,40,united-states,>50K
17,private,10th,6,never-married,prof-specialty,own-child,white,female,34095,0,32,united-states,<=50K
30,private,11th,7,never-married,handlers-cleaners,own-child,white,male,0,0,40,united-states,<=50K
31,local-gov,hs-grad,9,never-married,adm-clerical,not-in-family,white,female,0,0,40,united-states,<=50K
42,private,hs-grad,9,married-civ-spouse,handlers-cleaners,husband,white,male,0,0,40,united-states,<=50K
24,private,bachelors,13,never-married,sales,other-relative,white,male,0,0,40,united-states,<=50K
38,private,prof-school,15,married-civ-spouse,prof-specialty,husband,white,male,0,0,40,united-states,>50K
56,self-emp-not-inc,hs-grad,9,married-civ-spouse,other-service,husband,white,male,0,1887,50,canada,>50K
28,private,some-college,10,married-civ-spouse,sales,wife,white,female,4064,0,25,united-states,<=50K
36,private,hs-grad,9,never-married,machine-op-inspct,own-child,white,female,0,0,40,united-states,<=50K
53,private,9th,5,married-civ-spouse,handlers-cleaners,husband,white,male,0,0,50,united-states,<=50K
56,self-emp-inc,some-college,10,married-civ-spouse,sales,husband,white,male,0,0,50,united-states,<=50K
49,local-gov,assoc-voc,11,married-civ-spouse,craft-repair,husband,black,male,0,0,40,united-states,>50K
55,private,some-college,10,married-civ-spouse,sales,husband,white,male,0,0,56,united-states,<=50K
22,private,hs-grad,9,never-married,craft-repair,not-in-family,white,male,0,0,41,united-states,<=50K
21,private,some-college,10,never-married,other-service,own-child,white,female,0,0,40,united-states,<=50K
40,private,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,0,0,60,united-states,<=50K
30,private,bachelors,13,never-married,exec-managerial,own-child,black,male,0,0,40,germany,<=50K
29,state-gov,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,0,0,50,united-states,>50K
19,private,some-college,10,never-married,other-service,own-child,black,male,0,0,35,united-states,<=50K
47,private,bachelors,13,married-civ-spouse,exec-managerial,wife,white,female,0,0,40,united-states,>50K
20,private,some-college,10,never-married,adm-clerical,own-child,white,female,0,1719,28,united-states,<=50K
31,private,assoc-acdm,12,married-civ-spouse,adm-clerical,husband,white,male,0,0,40,united-states,>50K
35,private,hs-grad,9,married-civ-spouse,prof-specialty,husband,white,male,0,0,40,united-states,<=50K
39,private,some-college,10,divorced,craft-repair,not-in-family,white,male,0,0,40,united-states,<=50K
28,private,assoc-acdm,12,never-married,sales,not-in-family,white,female,0,0,60,united-states,<=50K
24,private,hs-grad,9,never-married,other-service,not-in-family,white,female,0,1762,40,united-states,<=50K
38,self-emp-not-inc,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,4386,0,35,united-states,<=50K
37,private,bachelors,13,married-civ-spouse,sales,husband,white,male,0,0,50,united-states,<=50K
46,private,assoc-acdm,12,divorced,tech-support,not-in-family,black,female,0,0,36,united-states,<=50K
38,federal-gov,masters,14,married-civ-spouse,prof-specialty,husband,white,male,0,0,40,iran,>50K
43,self-emp-not-inc,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,0,0,60,united-states,<=50K
27,private,assoc-voc,11,married-civ-spouse,adm-clerical,wife,white,female,0,0,35,united-states,<=50K
20,private,some-college,10,never-married,sales,own-child,white,male,0,0,20,united-states,<=50K
49,private,some-college,10,married-civ-spouse,craft-repair,husband,asian-pac-islander,male,0,0,40,united-states,>50K
61,self-emp-inc,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,<=50K
27,private,some-college,10,never-married,sales,own-child,white,female,0,0,40,united-states,<=50K
19,private,some-college,10,never-married,other-service,own-child,white,male,0,0,30,mexico,<=50K
45,private,assoc-voc,11,never-married,prof-specialty,not-in-family,white,female,0,1564,40,united-states,>50K
70,private,some-college,10,never-married,tech-support,other-relative,white,male,0,0,40,united-states,<=50K
31,private,hs-grad,9,never-married,transport-moving,unmarried,black,female,0,0,30,united-states,<=50K
22,private,some-college,10,married-civ-spouse,other-service,husband,white,male,0,0,24,united-states,<=50K
36,private,hs-grad,9,widowed,other-service,unmarried,white,female,0,0,24,united-states,<=50K
64,private,11th,7,married-civ-spouse,craft-repair,husband,white,male,0,2179,40,united-states,<=50K
43,private,some-college,10,divorced,prof-specialty,not-in-family,white,female,0,0,40,united-states,<=50K
47,local-gov,some-college,10,divorced,adm-clerical,unmarried,white,female,0,0,38,mexico,<=50K
34,private,hs-grad,9,never-married,adm-clerical,not-in-family,white,female,0,0,40,united-states,<=50K
33,private,bachelors,13,never-married,exec-managerial,other-relative,asian-pac-islander,female,0,0,40,philippines,<=50K
21,private,hs-grad,9,never-married,craft-repair,own-child,white,male,0,0,35,united-states,<=50K
52,private,hs-grad,9,divorced,prof-specialty,not-in-family,white,male,0,0,45,united-states,>50K
48,private,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,0,0,46,united-states,<=50K
23,private,bachelors,13,never-married,handlers-cleaners,not-in-family,white,male,0,0,40,united-states,<=50K
71,self-emp-not-inc,some-college,10,separated,sales,unmarried,black,male,0,1816,2,united-states,<=50K
29,private,hs-grad,9,divorced,craft-repair,not-in-family,white,male,0,0,60,united-states,<=50K
42,private,bachelors,13,separated,other-service,other-relative,black,male,0,0,50,united-states,<=50K
68,private,1st-4th,2,divorced,prof-specialty,not-in-family,white,female,0,0,20,united-states,<=50K
25,private,hs-grad,9,never-married,other-service,unmarried,white,female,0,0,40,united-states,<=50K
44,self-emp-inc,masters,14,divorced,exec-managerial,unmarried,asian-pac-islander,female,0,0,40,united-states,<=50K
28,private,hs-grad,9,never-married,exec-managerial,not-in-family,asian-pac-islander,female,0,0,40,england,<=50K
45,self-emp-not-inc,masters,14,married-civ-spouse,sales,husband,white,male,0,0,40,united-states,>50K
36,private,some-college,10,divorced,other-service,unmarried,white,female,0,0,40,mexico,<=50K
39,federal-gov,assoc-acdm,12,never-married,exec-managerial,not-in-family,white,male,0,0,42,united-states,<=50K
46,state-gov,masters,14,widowed,protective-serv,unmarried,white,male,0,0,40,united-states,<=50K
18,private,11th,7,never-married,handlers-cleaners,own-child,white,male,0,0,16,united-states,<=50K
66,local-gov,assoc-voc,11,widowed,prof-specialty,not-in-family,white,female,0,0,20,united-states,<=50K
27,private,hs-grad,9,never-married,other-service,not-in-family,white,male,0,1980,40,united-states,<=50K
28,state-gov,hs-grad,9,married-civ-spouse,protective-serv,husband,white,male,0,0,40,united-states,<=50K
51,private,some-college,10,married-civ-spouse,sales,husband,white,male,0,1977,40,united-states,>50K
27,private,bachelors,13,never-married,craft-repair,not-in-family,white,male,0,0,50,united-states,<=50K
28,state-gov,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,0,0,40,united-states,>50K
27,private,hs-grad,9,married-spouse-absent,sales,unmarried,white,female,0,0,25,united-states,<=50K
21,private,hs-grad,9,never-married,craft-repair,own-child,black,male,0,0,40,united-states,<=50K
34,private,hs-grad,9,never-married,handlers-cleaners,not-in-family,black,male,0,0,40,united-states,<=50K
18,private,hs-grad,9,never-married,other-service,own-child,white,male,0,0,12,united-states,<=50K
33,private,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,0,0,65,united-states,<=50K
44,local-gov,some-college,10,married-civ-spouse,exec-managerial,husband,black,male,0,0,38,united-states,>50K
43,private,some-college,10,divorced,adm-clerical,not-in-family,white,female,0,0,40,united-states,<=50K
30,private,some-college,10,never-married,craft-repair,not-in-family,black,male,0,0,45,united-states,<=50K
40,private,7th-8th,4,married-civ-spouse,machine-op-inspct,husband,white,male,0,0,40,mexico,>50K
37,federal-gov,some-college,10,married-civ-spouse,adm-clerical,husband,white,male,0,0,42,united-states,>50K
34,private,hs-grad,9,married-civ-spouse,adm-clerical,husband,black,male,0,0,40,united-states,<=50K
41,self-emp-not-inc,bachelors,13,divorced,exec-managerial,not-in-family,white,female,0,0,40,united-states,<=50K
53,private,bachelors,13,divorced,prof-specialty,not-in-family,white,female,0,0,50,united-states,<=50K
31,private,masters,14,married-civ-spouse,prof-specialty,wife,white,female,0,0,50,united-states,<=50K
58,state-gov,doctorate,16,married-civ-spouse,prof-specialty,husband,white,male,0,0,1,united-states,>50K
38,private,some-college,10,divorced,machine-op-inspct,not-in-family,black,female,0,0,28,united-states,<=50K
24,private,some-college,10,married-civ-spouse,machine-op-inspct,husband,white,male,0,0,40,united-states,<=50K
41,local-gov,bachelors,13,married-civ-spouse,craft-repair,husband,black,male,0,0,40,united-states,<=50K
47,private,some-college,10,married-civ-spouse,tech-support,husband,white,male,0,0,45,united-states,<=50K
41,federal-gov,bachelors,13,married-civ-spouse,tech-support,husband,white,male,0,0,24,united-states,<=50K
23,private,5th-6th,3,married-civ-spouse,transport-moving,other-relative,white,male,0,0,40,mexico,<=50K
36,private,some-college,10,divorced,craft-repair,not-in-family,white,male,0,0,40,united-states,<=50K
40,federal-gov,masters,14,never-married,exec-managerial,not-in-family,white,female,14084,0,55,united-states,>50K
35,private,masters,14,married-civ-spouse,prof-specialty,other-relative,white,male,7298,0,40,united-states,>50K
24,self-emp-not-inc,hs-grad,9,never-married,sales,not-in-family,white,male,0,0,40,united-states,<=50K
26,private,masters,14,never-married,prof-specialty,not-in-family,white,female,0,1876,40,united-states,<=50K
19,private,hs-grad,9,never-married,prof-specialty,own-child,white,male,0,0,40,italy,<=50K
51,private,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,0,0,50,united-states,>50K
42,local-gov,some-college,10,never-married,prof-specialty,not-in-family,white,female,0,1340,40,united-states,<=50K
37,state-gov,hs-grad,9,divorced,adm-clerical,unmarried,white,female,0,0,35,united-states,<=50K
18,private,11th,7,never-married,sales,own-child,white,female,0,0,40,united-states,<=50K
36,private,bachelors,13,married-civ-spouse,other-service,husband,black,male,7298,0,36,united-states,>50K
35,private,hs-grad,9,divorced,craft-repair,not-in-family,white,male,0,0,60,united-states,<=50K
58,self-emp-inc,hs-grad,9,married-civ-spouse,sales,wife,white,female,15024,0,35,united-states,>50K
17,private,11th,7,never-married,sales,own-child,white,female,0,0,12,united-states,<=50K
44,local-gov,hs-grad,9,married-civ-spouse,transport-moving,husband,black,male,0,0,40,united-states,<=50K
37,private,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,>50K
35,private,some-college,10,never-married,sales,not-in-family,amer-indian-eskimo,female,0,0,40,united-states,<=50K
60,private,hs-grad,9,married-civ-spouse,craft-repair,husband,asian-pac-islander,male,0,0,40,united-states,<=50K
54,self-emp-inc,7th-8th,4,married-civ-spouse,machine-op-inspct,husband,white,male,0,0,40,united-states,>50K
37,private,bachelors,13,never-married,exec-managerial,not-in-family,black,male,0,0,60,united-states,>50K
50,private,assoc-acdm,12,divorced,sales,not-in-family,white,female,0,0,40,united-states,<=50K
38,private,bachelors,13,married-civ-spouse,sales,husband,white,male,0,0,50,poland,<=50K
45,private,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,0,0,55,united-states,<=50K
25,private,10th,6,never-married,craft-repair,not-in-family,white,male,0,0,40,united-states,<=50K
31,private,some-college,10,married-civ-spouse,handlers-cleaners,husband,white,male,0,0,40,united-states,<=50K
64,private,1st-4th,2,divorced,prof-specialty,not-in-family,white,male,0,0,40,united-states,<=50K
90,private,hs-grad,9,never-married,other-service,not-in-family,black,male,0,2206,40,united-states,<=50K
54,private,hs-grad,9,married-civ-spouse,adm-clerical,husband,black,male,0,0,20,united-states,<=50K
53,local-gov,preschool,1,never-married,machine-op-inspct,not-in-family,white,female,0,0,35,united-states,<=50K
18,private,hs-grad,9,never-married,sales,own-child,white,female,0,0,40,united-states,<=50K
60,private,10th,6,divorced,prof-specialty,not-in-family,amer-indian-eskimo,female,0,0,10,united-states,<=50K
66,self-emp-not-inc,hs-grad,9,married-civ-spouse,farming-fishing,husband,white,male,1409,0,50,united-states,<=50K
75,private,assoc-voc,11,widowed,adm-clerical,not-in-family,white,female,0,0,20,columbia,<=50K
65,private,hs-grad,9,divorced,adm-clerical,not-in-family,white,female,0,0,40,united-states,<=50K
35,private,11th,7,separated,transport-moving,not-in-family,black,male,3674,0,40,united-states,<=50K
41,private,hs-grad,9,divorced,sales,unmarried,black,female,0,0,38,united-states,<=50K
25,private,some-college,10,never-married,adm-clerical,not-in-family,white,male,0,0,42,united-states,<=50K
33,private,some-college,10,divorced,craft-repair,other-relative,other,female,0,0,40,united-states,<=50K
28,private,prof-school,15,never-married,prof-specialty,not-in-family,white,male,0,0,55,united-states,>50K
59,state-gov,hs-grad,9,married-civ-spouse,other-service,husband,white,male,0,0,40,united-states,<=50K
40,state-gov,some-college,10,never-married,adm-clerical,not-in-family,white,female,0,0,38,united-states,<=50K
41,private,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,0,0,50,iran,>50K
38,local-gov,masters,14,married-civ-spouse,exec-managerial,husband,white,male,0,0,70,united-states,>50K
23,private,hs-grad,9,never-married,transport-moving,own-child,white,male,0,0,40,united-states,<=50K
40,private,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,0,0,40,united-states,>50K
41,self-emp-not-inc,hs-grad,9,married-civ-spouse,other-service,wife,white,female,0,0,20,united-states,<=50K
24,state-gov,assoc-acdm,12,married-civ-spouse,protective-serv,husband,white,male,0,0,50,united-states,<=50K
20,private,some-college,10,never-married,prof-specialty,own-child,white,male,0,0,20,united-states,<=50K
38,private,some-college,10,divorced,craft-repair,not-in-family,white,male,0,1741,40,united-states,<=50K
56,private,hs-grad,9,married-civ-spouse,adm-clerical,husband,white,male,0,0,35,united-states,<=50K
58,private,hs-grad,9,married-civ-spouse,adm-clerical,husband,white,male,0,0,45,united-states,>50K
32,private,hs-grad,9,never-married,other-service,not-in-family,white,female,0,0,34,united-states,<=50K
40,private,assoc-acdm,12,married-civ-spouse,tech-support,husband,white,male,0,1977,60,united-states,>50K
45,private,hs-grad,9,married-civ-spouse,adm-clerical,husband,white,male,0,0,40,united-states,<=50K
41,private,prof-school,15,married-civ-spouse,prof-specialty,wife,white,female,0,0,40,united-states,>50K
42,private,bachelors,13,married-civ-spouse,adm-clerical,wife,black,female,0,0,40,united-states,<=50K
59,local-gov,10th,6,widowed,other-service,unmarried,black,female,0,0,30,united-states,<=50K
19,local-gov,some-college,10,never-married,adm-clerical,own-child,white,male,0,0,40,united-states,<=50K
58,private,some-college,10,never-married,transport-moving,not-in-family,white,male,0,0,20,united-states,<=50K
42,self-emp-not-inc,hs-grad,9,married-civ-spouse,farming-fishing,husband,asian-pac-islander,male,0,0,40,cambodia,>50K
20,private,hs-grad,9,never-married,other-service,own-child,white,female,0,0,40,united-states,<=50K
32,private,hs-grad,9,separated,other-service,not-in-family,white,female,0,0,30,united-states,<=50K
45,private,assoc-voc,11,widowed,exec-managerial,not-in-family,white,female,0,0,45,united-states,<=50K
50,private,7th-8th,4,divorced,craft-repair,not-in-family,white,male,0,0,40,united-states,<=50K
36,private,bachelors,13,divorced,prof-specialty,own-child,white,female,0,0,40,united-states,<=50K
45,private,hs-grad,9,married-civ-spouse,sales,husband,white,male,0,0,60,united-states,<=50K
17,private,11th,7,never-married,other-service,own-child,white,male,0,0,12,united-states,<=50K
59,private,some-college,10,married-civ-spouse,sales,husband,white,male,4064,0,40,united-states,<=50K
26,private,11th,7,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,<=50K
37,self-emp-inc,some-college,10,married-civ-spouse,exec-managerial,husband,asian-pac-islander,male,0,0,75,thailand,>50K
19,private,some-college,10,never-married,prof-specialty,own-child,white,male,0,0,24,canada,<=50K
64,private,hs-grad,9,married-civ-spouse,exec-managerial,husband,white,male,0,0,40,united-states,>50K
33,private,bachelors,13,never-married,prof-specialty,not-in-family,white,female,0,0,45,united-states,<=50K
33,private,hs-grad,9,married-civ-spouse,craft-repair,wife,white,female,0,0,40,united-states,>50K
61,private,hs-grad,9,married-civ-spouse,exec-managerial,husband,white,male,0,0,40,united-states,>50K
17,private,9th,5,never-married,other-service,own-child,white,male,1055,0,24,united-states,<=50K
50,self-emp-not-inc,masters,14,married-civ-spouse,farming-fishing,husband,white,male,2407,0,98,united-states,<=50K
27,local-gov,masters,14,never-married,prof-specialty,own-child,white,male,0,0,35,united-states,<=50K
30,private,hs-grad,9,divorced,prof-specialty,own-child,white,female,0,0,40,united-states,<=50K
43,private,hs-grad,9,married-civ-spouse,handlers-cleaners,husband,black,male,0,0,40,united-states,<=50K
44,private,some-college,10,married-civ-spouse,craft-repair,husband,white,male,7298,0,40,united-states,>50K
35,private,some-college,10,never-married,exec-managerial,not-in-family,white,female,0,0,40,united-states,<=50K
25,private,some-college,10,never-married,tech-support,own-child,white,female,0,0,40,united-states,<=50K
24,private,some-college,10,married-civ-spouse,machine-op-inspct,wife,white,female,7298,0,48,united-states,>50K
22,private,bachelors,13,never-married,prof-specialty,not-in-family,white,female,0,0,15,germany,<=50K
42,local-gov,some-college,10,married-civ-spouse,craft-repair,husband,white,male,5178,0,40,united-states,>50K
34,private,assoc-acdm,12,divorced,sales,unmarried,black,female,0,0,45,united-states,<=50K
60,private,bachelors,13,divorced,prof-specialty,not-in-family,white,female,0,0,42,united-states,<=50K
21,private,hs-grad,9,never-married,handlers-cleaners,own-child,white,male,0,0,40,united-states,<=50K
57,federal-gov,masters,14,married-civ-spouse,sales,husband,white,male,15024,0,40,united-states,>50K
41,private,prof-school,15,married-civ-spouse,prof-specialty,husband,white,male,0,0,60,united-states,>50K
50,private,some-college,10,divorced,other-service,not-in-family,white,male,0,0,45,united-states,<=50K
