Order ID,Date,Product,Category,Price,Quantity,Total Sales,Customer Name,Customer Location,Payment Method,Status
55,13,6,2,500,1,500,5,5,2,0
56,9,6,2,500,1,500,5,1,4,0
57,1,7,2,150,2,300,1,2,1,0
58,7,0,0,15,5,75,5,2,1,2
59,5,4,4,1200,1,1200,5,7,4,0
60,2,3,2,800,5,4000,8,8,4,1
61,46,6,2,500,5,2500,4,6,3,1
62,15,0,0,15,3,45,4,8,0,2
63,11,7,2,150,2,300,7,3,4,2
64,47,1,2,100,3,300,0,7,2,2
65,31,1,2,100,1,100,2,4,2,0
66,3,0,0,15,1,15,3,0,1,1
67,15,7,2,150,5,750,6,3,1,2
68,55,3,2,800,3,2400,1,4,1,2
69,25,6,2,500,5,2500,3,6,1,0
70,37,1,2,100,2,200,1,0,4,2
71,33,9,4,600,1,600,5,2,0,1
72,26,1,2,100,2,200,1,4,1,1
73,19,7,2,150,2,300,4,5,3,0
74,59,5,3,60,2,120,3,3,3,0
75,31,5,3,60,4,240,9,8,2,2
76,37,1,2,100,3,300,7,1,4,0
77,33,6,2,500,3,1500,5,9,2,0
78,41,9,4,600,4,2400,4,4,3,0
79,10,8,1,20,5,100,8,0,4,1
80,52,6,2,500,5,2500,7,4,4,1
81,35,7,2,150,5,750,5,2,4,0
82,9,5,3,60,5,300,4,6,2,1
83,52,4,4,1200,2,2400,0,9,2,2
84,38,5,3,60,5,300,4,5,1,0
85,34,7,2,150,5,750,3,4,0,1
86,44,3,2,800,4,3200,1,4,3,2
87,13,6,2,500,2,1000,8,0,4,0
88,36,2,1,40,5,200,1,9,1,0
89,16,7,2,150,4,600,0,7,2,0
90,46,7,2,150,3,450,5,7,0,1
91,36,0,0,15,5,75,8,1,0,2
92,10,7,2,150,2,300,0,6,4,2
93,18,9,4,600,5,3000,7,9,2,1
94,8,5,3,60,1,60,5,4,3,0
95,25,0,0,15,5,75,6,3,4,2
96,41,6,2,500,2,1000,2,0,4,2
97,11,8,1,20,2,40,7,1,4,2
98,29,2,1,40,5,200,5,2,2,2
99,15,2,1,40,1,40,5,0,2,2
100,13,8,1,20,3,60,8,1,4,2
101,21,2,1,40,3,120,8,2,1,0
102,15,1,2,100,2,200,1,6,4,2
103,17,2,1,40,5,200,7,7,4,1
104,18,6,2,500,5,2500,8,2,0,2
105,47,3,2,800,4,3200,4,5,1,1
106,53,9,4,600,2,1200,2,2,3,0
107,21,0,0,15,5,75,2,8,2,2
108,31,5,3,60,1,60,4,4,1,2
109,28,5,3,60,3,180,8,6,0,1
110,21,3,2,800,4,3200,4,5,0,1
111,39,8,1,20,1,20,1,7,1,1
112,2,1,2,100,5,500,6,4,0,1
113,15,6,2,500,2,1000,0,1,4,2
114,14,3,2,800,5,4000,3,3,4,1
115,18,6,2,500,1,500,6,2,3,2
116,42,3,2,800,3,2400,6,6,1,0
117,31,0,0,15,3,45,0,0,3,0
118,2,0,0,15,1,15,4,9,3,2
119,31,6,2,500,1,500,3,3,0,1
120,18,8,1,20,3,60,4,2,2,1
121,32,7,2,150,2,300,3,2,4,0
122,37,2,1,40,5,200,3,7,2,2
123,2,7,2,150,5,750,2,0,4,1
124,37,2,1,40,2,80,1,1,1,2
125,55,6,2,500,2,1000,8,1,2,2
126,31,3,2,800,1,800,3,7,0,2
127,54,6,2,500,5,2500,2,1,3,2
128,2,8,1,20,1,20,8,6,1,2
129,4,4,4,1200,2,2400,1,8,4,0
130,26,7,2,150,3,450,9,8,2,1
131,4,7,2,150,5,750,6,5,1,0
132,19,3,2,800,2,1600,7,3,4,0
133,21,7,2,150,2,300,8,6,2,1
134,28,6,2,500,2,1000,6,6,4,1
135,13,6,2,500,3,1500,9,6,3,1
136,47,4,4,1200,2,2400,5,2,4,0
137,39,2,1,40,2,80,7,5,3,0
138,57,7,2,150,2,300,7,9,2,0
139,36,7,2,150,2,300,4,0,2,1
140,50,5,3,60,5,300,5,2,4,2
141,52,1,2,100,4,400,3,5,0,0
142,26,5,3,60,3,180,7,7,3,2
143,56,0,0,15,4,60,1,1,3,0
144,43,9,4,600,4,2400,5,5,0,2
145,41,7,2,150,1,150,6,9,3,1
146,31,7,2,150,5,750,9,8,4,2
147,0,1,2,100,2,200,6,3,2,1
148,15,7,2,150,4,600,8,6,4,0
149,56,6,2,500,3,1500,9,3,1,2
150,33,3,2,800,3,2400,0,6,2,2
151,14,8,1,20,2,40,2,2,3,0
152,52,9,4,600,3,1800,8,3,3,0
153,29,1,2,100,1,100,3,5,1,1
154,58,6,2,500,2,1000,8,1,1,1
155,25,5,3,60,2,120,0,4,4,1
156,35,7,2,150,5,750,7,0,2,2
157,11,0,0,15,1,15,2,7,0,2
158,46,9,4,600,4,2400,0,4,1,2
159,26,4,4,1200,2,2400,8,9,1,1
160,34,3,2,800,5,4000,7,6,2,2
161,53,4,4,1200,2,2400,6,3,4,1
162,41,3,2,800,1,800,4,8,3,2
163,41,7,2,150,2,300,1,4,4,1
164,7,0,0,15,1,15,2,6,2,0
165,41,4,4,1200,1,1200,8,9,4,1
166,9,7,2,150,2,300,2,1,2,2
167,34,2,1,40,5,200,2,7,2,0
168,40,0,0,15,1,15,7,0,0,1
169,11,0,0,15,5,75,2,8,1,2
170,52,6,2,500,3,1500,3,1,4,1
171,36,2,1,40,1,40,8,9,4,0
172,49,4,4,1200,3,3600,2,0,3,1
173,45,5,3,60,2,120,2,5,2,0
174,24,8,1,20,5,100,4,3,4,1
175,36,9,4,600,1,600,4,9,2,2
176,16,0,0,15,5,75,1,6,2,2
177,30,8,1,20,1,20,0,2,2,1
178,23,9,4,600,4,2400,7,7,4,1
179,9,3,2,800,3,2400,6,7,4,2
180,10,0,0,15,1,15,6,0,0,1
181,2,3,2,800,3,2400,5,4,0,1
182,31,5,3,60,1,60,9,4,4,1
183,41,2,1,40,4,160,6,9,0,2
184,47,1,2,100,3,300,9,2,3,2
185,46,0,0,15,5,75,2,1,0,2
186,25,2,1,40,4,160,6,8,2,0
187,3,6,2,500,3,1500,8,3,3,0
188,49,1,2,100,5,500,1,9,2,2
189,7,5,3,60,2,120,7,3,3,1
190,25,3,2,800,4,3200,5,9,0,2
191,29,6,2,500,3,1500,0,2,1,1
192,2,0,0,15,2,30,0,5,2,1
193,44,0,0,15,4,60,7,8,1,1
194,27,6,2,500,2,1000,1,6,1,0
195,27,4,4,1200,3,3600,6,2,2,1
196,57,5,3,60,5,300,5,6,3,2
197,39,1,2,100,2,200,2,4,4,1
198,6,9,4,600,5,3000,4,6,0,2
199,28,9,4,600,1,600,6,6,1,1
200,22,4,4,1200,3,3600,6,6,4,1
201,43,2,1,40,5,200,1,2,4,1
202,32,3,2,800,3,2400,5,7,4,1
203,9,6,2,500,1,500,2,6,3,2
204,59,8,1,20,4,80,4,4,2,1
205,52,3,2,800,1,800,5,5,0,0
206,18,7,2,150,5,750,3,4,2,1
207,55,5,3,60,1,60,4,4,4,1
208,38,2,1,40,2,80,0,1,1,1
209,21,5,3,60,2,120,4,0,3,2
210,12,1,2,100,4,400,1,7,3,0
211,16,1,2,100,3,300,2,4,4,0
212,2,7,2,150,3,450,7,3,2,1
213,41,9,4,600,2,1200,3,1,3,0
214,14,9,4,600,2,1200,0,9,4,0
215,34,2,1,40,2,80,2,3,0,0
216,19,4,4,1200,1,1200,5,6,4,1
217,5,2,1,40,1,40,9,7,3,0
218,51,5,3,60,4,240,0,1,0,1
219,24,1,2,100,5,500,4,6,0,0
220,6,5,3,60,1,60,2,8,1,2
221,28,5,3,60,3,180,4,8,1,2
222,47,1,2,100,4,400,5,8,0,2
223,14,3,2,800,5,4000,5,0,1,0
224,11,4,4,1200,3,3600,4,5,1,1
225,25,5,3,60,1,60,2,0,4,0
226,57,0,0,15,1,15,5,6,0,0
227,32,4,4,1200,1,1200,1,2,4,1
228,51,6,2,500,5,2500,6,0,4,1
229,4,1,2,100,3,300,7,4,2,0
230,15,1,2,100,1,100,8,3,4,1
231,30,7,2,150,5,750,1,4,0,1
232,58,7,2,150,1,150,6,3,3,2
233,46,6,2,500,4,2000,8,7,1,2
234,57,6,2,500,4,2000,0,0,3,2
235,51,5,3,60,2,120,0,4,0,1
236,52,6,2,500,4,2000,4,4,1,1
237,48,3,2,800,1,800,7,5,1,0
238,17,8,1,20,2,40,1,6,2,0
239,46,2,1,40,1,40,9,2,2,0
240,51,8,1,20,2,40,0,3,2,0
241,57,7,2,150,3,450,3,7,2,0
242,20,6,2,500,4,2000,3,9,0,1
